iter	Passed	Remaining
1000	14397	43136
1001	14408	43109
1002	14417	43081
1003	14426	43049
1004	14434	43017
1005	14443	42985
1006	14454	42960
1007	14463	42931
1008	14474	42906
1009	14488	42890
1010	14497	42861
1011	14507	42835
1012	14517	42805
1013	14526	42778
1014	14535	42748
1015	14544	42718
1016	14553	42687
1017	14563	42661
1018	14573	42633
1019	14583	42607
1020	14593	42580
1021	14602	42550
1022	14612	42524
1023	14622	42496
1024	14632	42469
1025	14641	42440
1026	14656	42427
1027	14670	42413
1028	14683	42394
1029	14694	42371
1030	14708	42355
1031	14720	42335
1032	14735	42322
1033	14748	42306
1034	14760	42285
1035	14773	42265
1036	14788	42254
1037	14799	42231
1038	14810	42207
1039	14821	42184
1040	14830	42154
1041	14840	42128
1042	14850	42101
1043	14859	42074
1044	14870	42051
1045	14885	42039
1046	14894	42009
1047	14903	41979
1048	14913	41953
1049	14921	41923
1050	14932	41899
1051	14944	41879
1052	14953	41851
1053	14963	41825
1054	14973	41798
1055	14983	41771
1056	14992	41743
1057	15000	41713
1058	15010	41685
1059	15018	41655
1060	15029	41631
1061	15039	41605
1062	15047	41575
1063	15057	41550
1064	15068	41525
1065	15076	41496
1066	15087	41472
1067	15099	41451
1068	15109	41427
1069	15119	41402
1070	15129	41375
1071	15137	41346
1072	15146	41317
1073	15155	41290
1074	15166	41265
1075	15176	41241
1076	15186	41217
1077	15196	41190
1078	15206	41166
1079	15216	41139
1080	15255	41194
1081	15269	41178
1082	15278	41151
1083	15289	41129
1084	15299	41105
1085	15309	41078
1086	15319	41054
1087	15328	41027
1088	15337	40998
1089	15347	40974
1090	15356	40945
1091	15364	40916
1092	15373	40889
1093	15383	40863
1094	15393	40838
1095	15402	40809
1096	15411	40782
1097	15420	40755
1098	15429	40729
1099	15439	40703
1100	15447	40674
1101	15456	40647
1102	15467	40625
1103	15480	40609
1104	15489	40582
1105	15499	40556
1106	15508	40530
1107	15519	40506
1108	15528	40480
1109	15537	40453
1110	15546	40426
1111	15555	40399
1112	15564	40373
1113	15574	40348
1114	15583	40321
1115	15592	40295
1116	15603	40273
1117	15613	40249
1118	15624	40227
1119	15634	40204
1120	15644	40178
1121	15659	40167
1122	15673	40152
1123	15687	40140
1124	15701	40125
1125	15714	40108
1126	15726	40090
1127	15738	40072
1128	15751	40054
1129	15762	40035
1130	15774	40014
1131	15787	39999
1132	15797	39974
1133	15816	39974
1134	15826	39950
1135	15836	39925
1136	15846	39901
1137	15855	39876
1138	15865	39853
1139	15877	39832
1140	15891	39819
1141	15904	39802
1142	15915	39782
1143	15925	39757
1144	15934	39732
1145	15945	39710
1146	15955	39686
1147	15964	39659
1148	15974	39637
1149	15984	39613
1150	15993	39588
1151	16002	39562
1152	16012	39537
1153	16021	39511
1154	16029	39484
1155	16039	39460
1156	16048	39434
1157	16057	39409
1158	16067	39385
1159	16082	39373
1160	16094	39355
